Row.names,seqnames,start,end,width,annotation,geneChr,geneStart,geneEnd,geneLength,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,ASE1,ASE2,GeneID,Ctrl.bam,V5.bam,difference,FC,L2FC
chr2:135911137-135911507,chr2,135911137,135911507,371,Promoter (<=1kb),2,135906824,135911617,4794,1615,ENST00000478212.5,110,ENSG00000115866,DARS1,aspartyl-tRNA synthetase 1,,,controlledV5_peak_593,0,15,15,15,3.906890596
chr17:7503584-7503792,chr17,7503584,7503792,209,Promoter (<=1kb),17,7503401,7503956,556,5430,ENST00000574158.1,183,ENSG00000181222,POLR2A,RNA polymerase II subunit A,,,controlledV5_peak_409,1,29,28,14.5,3.857980995
chr12:121641168-121641560,chr12,121641168,121641560,393,"Exon (ENST00000698901.1/84876, exon 2 of 2)",12,121626816,121641533,14718,84876,ENST00000611718.1,14352,ENSG00000276045,ORAI1,ORAI calcium release-activated calcium modulator 1,,,controlledV5_peak_270,0,14,14,14,3.807354922
chr19:621083-621268,chr19,621083,621268,186,Promoter (1-2kb),19,617646,619226,1581,5442,ENST00000589961.2,-1857,ENSG00000099821,POLRMT,RNA polymerase mitochondrial,,,controlledV5_peak_489,0,14,14,14,3.807354922
chr2:105093525-105093721,chr2,105093525,105093721,197,Promoter (1-2kb),2,105092098,105099900,7803,64965,ENST00000472220.1,1427,ENSG00000135972,MRPS9,mitochondrial ribosomal protein S9,,,controlledV5_peak_585,0,14,14,14,3.807354922
chr22:20116086-20116430,chr22,20116086,20116430,345,Promoter (<=1kb),22,20115349,20116100,752,27037,ENST00000480460.1,0,ENSG00000099899,TRMT2A,tRNA methyltransferase 2 homolog A,,,controlledV5_peak_663,0,14,14,14,3.807354922
chr6:89674216-89674592,chr6,89674216,89674592,377,Promoter (<=1kb),6,89673469,89675783,2315,101929057,ENST00000438877.1,747,,MDN1-AS1,MDN1 antisense RNA 1,,,controlledV5_peak_882,0,14,14,14,3.807354922
chr1:160297342-160297554,chr1,160297342,160297554,213,Promoter (<=1kb),1,160289354,160297356,8003,1314,ENST00000648280.1,0,ENSG00000122218,COPA,COPI coat complex subunit alpha,,,controlledV5_peak_93,0,13,13,13,3.700439718
chr1:231000144-231000392,chr1,231000144,231000392,249,3' UTR,1,230995760,231000595,4836,64801,ENST00000459891.1,4384,ENSG00000173409,ARV1,"ARV1 homolog, fatty acid homeostasis modulator",,,controlledV5_peak_127,0,13,13,13,3.700439718
chr10:124411986-124412194,chr10,124411986,124412194,209,Promoter (2-3kb),10,124408893,124414436,5544,4942,ENST00000492376.1,2242,ENSG00000065154,OAT,ornithine aminotransferase,,,controlledV5_peak_160,0,13,13,13,3.700439718
chr11:117837714-117838097,chr11,117837714,117838097,384,3' UTR,11,117833910,117838942,5033,123706543,ENST00000581173.2,3804,,FXYD6-AS1,FXYD6 antisense RNA 1,,,controlledV5_peak_205,0,13,13,13,3.700439718
chr17:79784644-79784851,chr17,79784644,79784851,208,"Exon (ENST00000310942.9/84733, exon 5 of 5)",17,79778194,79782532,4339,84733,ENST00000269399.5,6450,ENSG00000173894,CBX2,chromobox 2,,,controlledV5_peak_467,0,13,13,13,3.700439718
chr4:1904213-1904407,chr4,1904213,1904407,195,"Exon (ENST00000508803.6/7468, exon 3 of 22)",4,1900650,1948799,48150,7468,ENST00000678714.1,3563,ENSG00000109685,NSD2,nuclear receptor binding SET domain protein 2,,,controlledV5_peak_760,0,13,13,13,3.700439718
chr5:103028935-103029227,chr5,103028935,103029227,293,3' UTR,5,103007569,103029192,21624,5066,ENST00000504456.1,21366,ENSG00000145730,PAM,peptidylglycine alpha-amidating monooxygenase,,,controlledV5_peak_808,0,13,13,13,3.700439718
chr9:81634096-81634299,chr9,81634096,81634299,204,"Exon (ENST00000376499.8/7088, exon 7 of 20)",9,81611806,81620557,8752,7088,ENST00000491534.5,-13539,ENSG00000196781,TLE1,"TLE family member 1, transcriptional corepressor",,,controlledV5_peak_1007,0,13,13,13,3.700439718
chr17:67107245-67107687,chr17,67107245,67107687,443,3' UTR,17,67044554,67056797,12244,786,ENST00000226021.5,62691,ENSG00000108878,CACNG1,calcium voltage-gated channel auxiliary subunit gamma 1,,,controlledV5_peak_458,1,25,24,12.5,3.64385619
chr1:227119803-227120000,chr1,227119803,227120000,198,"Exon (ENST00000366767.7/8476, exon 12 of 35)",1,227111984,227112799,816,8476,ENST00000466538.1,-7004,ENSG00000143776,CDC42BPA,CDC42 binding protein kinase alpha,,,controlledV5_peak_119,0,12,12,12,3.584962501
chr10:50265753-50266005,chr10,50265753,50266005,253,"Exon (ENST00000435916.1/ENST00000435916.1, exon 1 of 1)",10,50182778,50279720,96943,56624,ENST00000395526.9,13715,ENSG00000188611,ASAH2,N-acylsphingosine amidohydrolase 2,,,controlledV5_peak_145,0,12,12,12,3.584962501
chr10:51699228-51699442,chr10,51699228,51699442,215,Promoter (<=1kb),10,51695486,51699595,4110,23283,ENST00000331173.6,153,ENSG00000177613,CSTF2T,cleavage stimulation factor subunit 2 tau variant,,,controlledV5_peak_146,0,12,12,12,3.584962501
chr11:47797778-47797986,chr11,47797778,47797986,209,"Exon (ENST00000694866.1/23279, exon 26 of 36)",11,47804354,47806240,1887,23279,ENST00000527750.1,8254,ENSG00000030066,NUP160,nucleoporin 160,,,controlledV5_peak_183,0,12,12,12,3.584962501
chr17:78855584-78855802,chr17,78855584,78855802,219,3' UTR,17,78845345,78846686,1342,124904067,ENST00000667381.1,10239,,LOC124904067,uncharacterized LOC124904067,,,controlledV5_peak_466,0,12,12,12,3.584962501
chr17:82929140-82929501,chr17,82929140,82929501,362,Promoter (<=1kb),17,82929138,82942659,13522,6904,ENST00000577051.1,2,ENSG00000141556,TBCD,tubulin folding cofactor D,,,controlledV5_peak_475,0,12,12,12,3.584962501
chr3:127032385-127032589,chr3,127032385,127032589,205,Promoter (<=1kb),3,127031855,127033986,2132,5361,ENST00000505278.1,530,ENSG00000114554,PLXNA1,plexin A1,,,controlledV5_peak_742,0,12,12,12,3.584962501
chr7:122074885-122075180,chr7,122074885,122075180,296,3' UTR,7,122077836,122082872,5037,10157,ENST00000426162.1,7692,ENSG00000008311,AASS,aminoadipate-semialdehyde synthase,,,controlledV5_peak_943,0,12,12,12,3.584962501
chr7:149195569-149195755,chr7,149195569,149195755,187,Promoter (<=1kb),7,149195550,149224663,29114,8427,ENST00000479907.1,19,ENSG00000170265,ZNF282,zinc finger protein 282,,,controlledV5_peak_954,0,12,12,12,3.584962501
chr7:98961259-98961464,chr7,98961259,98961464,206,"Exon (ENST00000446306.8/8295, exon 44 of 71)",7,98970187,99036477,66291,8295,ENST00000360902.2,-8723,ENSG00000196367,TRRAP,transformation/transcription domain associated protein,,,controlledV5_peak_929,0,12,12,12,3.584962501
chr8:17960031-17960461,chr8,17960031,17960461,431,Promoter (<=1kb),8,17960094,17964770,4677,5108,ENST00000518762.1,0,ENSG00000078674,PCM1,pericentriolar material 1,,,controlledV5_peak_960,0,12,12,12,3.584962501
chr10:253490-253707,chr10,253490,253707,218,3' UTR,10,244471,248531,4061,10771,ENST00000473115.1,9019,ENSG00000015171,ZMYND11,zinc finger MYND-type containing 11,,,controlledV5_peak_135,0,11,11,11,3.459431619
chr12:53305972-53306323,chr12,53305972,53306323,352,Promoter (<=1kb),12,53306086,53307148,1063,60314,ENST00000549177.1,0,ENSG00000139637,MYG1,MYG1 exonuclease,,,controlledV5_peak_237,0,11,11,11,3.459431619
chr14:69055355-69055565,chr14,69055355,69055565,211,"Exon (ENST00000341516.10/8816, exon 9 of 9)",14,69055210,69118194,62985,8816,ENST00000553293.5,62629,ENSG00000139990,DCAF5,DDB1 and CUL4 associated factor 5,,,controlledV5_peak_312,0,11,11,11,3.459431619
chr16:57428714-57428958,chr16,57428714,57428958,245,Promoter (1-2kb),16,57429177,57430646,1470,57019,ENST00000564885.1,1688,ENSG00000005194,CIAPIN1,cytokine induced apoptosis inhibitor 1,,,controlledV5_peak_383,0,11,11,11,3.459431619
chr18:36122052-36122255,chr18,36122052,36122255,204,Promoter (<=1kb),18,36111056,36122115,11060,25800,ENST00000586829.1,0,ENSG00000141424,SLC39A6,solute carrier family 39 member 6,,,controlledV5_peak_485,0,11,11,11,3.459431619
chr19:49839075-49839263,chr19,49839075,49839263,189,3' UTR,19,49832884,49836979,4096,81857,ENST00000594998.1,6191,ENSG00000104973,MED25,mediator complex subunit 25,,,controlledV5_peak_544,0,11,11,11,3.459431619
chr5:116574333-116574535,chr5,116574333,116574535,203,Promoter (<=1kb),5,116574482,116591398,16917,105379132,ENST00000508766.1,0,ENSG00000249167,SEMA6A-AS2,SEMA6A antisense RNA 2,,,controlledV5_peak_811,0,11,11,11,3.459431619
chr5:171876290-171876517,chr5,171876290,171876517,228,Promoter (<=1kb),5,171867835,171876291,8457,23291,ENST00000522376.1,0,ENSG00000072803,FBXW11,F-box and WD repeat domain containing 11,,,controlledV5_peak_829,0,11,11,11,3.459431619
chr5:55425102-55425315,chr5,55425102,55425315,214,3' UTR,5,55416056,55424985,8930,23517,ENST00000508716.1,9046,ENSG00000039123,MTREX,Mtr4 exosome RNA helicase,,,controlledV5_peak_797,0,11,11,11,3.459431619
chr5:74696995-74697215,chr5,74696995,74697215,221,5' UTR,5,74693475,74705257,11783,3074,ENST00000510820.1,3520,ENSG00000049860,HEXB,hexosaminidase subunit beta,,,controlledV5_peak_804,0,11,11,11,3.459431619
chr6:75666711-75666941,chr6,75666711,75666941,231,Promoter (<=1kb),6,75666871,75715877,49007,26054,ENST00000503501.1,0,ENSG00000112701,SENP6,SUMO specific peptidase 6,,,controlledV5_peak_880,0,11,11,11,3.459431619
chr9:78320241-78320652,chr9,78320241,78320652,412,"Intron (ENST00000376588.4/29968, intron 7 of 8)",9,78297143,78329454,32312,29968,ENST00000347159.6,23098,ENSG00000135069,PSAT1,phosphoserine aminotransferase 1,,,controlledV5_peak_1006,0,11,11,11,3.459431619
chr11:43344006-43344412,chr11,43344006,43344412,407,3' UTR,11,43335279,43339373,4095,8539,ENST00000529334.1,8727,ENSG00000166181,API5,apoptosis inhibitor 5,,,controlledV5_peak_180,3,43,40,10.75,3.426264755
chr3:196050664-196051043,chr3,196050664,196051043,380,3' UTR,3,196049288,196054339,5052,7037,ENST00000698276.1,3296,ENSG00000072274,TFRC,transferrin receptor,,,controlledV5_peak_759,2,32,30,10.66666667,3.415037499
chr1:166748241-166748552,chr1,166748241,166748552,312,"Exon (ENST00000447259.2/ENST00000447259.2, exon 1 of 1)",1,166839447,166849208,9762,57645,ENST00000449930.5,-90895,ENSG00000143157,POGK,pogo transposable element derived with KRAB domain,,,controlledV5_peak_98,1,21,20,10.5,3.392317423
chr1:162772028-162772242,chr1,162772028,162772242,215,"Exon (ENST00000446985.6/4921, exon 13 of 18)",1,162767290,162772435,5146,4921,ENST00000433757.1,4738,ENSG00000162733,DDR2,discoidin domain receptor tyrosine kinase 2,,,controlledV5_peak_95,0,10,10,10,3.321928095
chr1:81503216-81503422,chr1,81503216,81503422,207,"Exon (ENST00000448213.2/ENST00000448213.2, exon 1 of 1)",1,81513880,81557702,43823,101927434,ENST00000443939.1,54280,ENSG00000234953,LOC101927434,uncharacterized LOC101927434,,,controlledV5_peak_45,0,10,10,10,3.321928095
chr11:74640683-74640980,chr11,74640683,74640980,298,Promoter (2-3kb),11,74638614,74641062,2449,10714,ENST00000532954.1,2069,ENSG00000077514,POLD3,"DNA polymerase delta 3, accessory subunit",,,controlledV5_peak_196,0,10,10,10,3.321928095
chr15:36618571-36618825,chr15,36618571,36618825,255,"Exon (ENST00000566382.2/ENST00000566382.2, exon 1 of 1)",15,36640605,36810231,169627,84529,ENST00000338183.8,-21780,ENSG00000186073,CDIN1,CDAN1 interacting nuclease 1,,,controlledV5_peak_332,0,10,10,10,3.321928095
chr16:18834890-18835118,chr16,18834890,18835118,229,"Exon (ENST00000446231.7/23049, exon 49 of 63)",16,18847739,18849370,1632,23049,ENST00000562668.1,14252,ENSG00000157106,SMG1,SMG1 nonsense mediated mRNA decay associated PI3K related kinase,,,controlledV5_peak_365,0,10,10,10,3.321928095
chr16:21976166-21976369,chr16,21976166,21976369,204,"Exon (ENST00000268379.9/7385, exon 12 of 14)",16,21980262,21983347,3086,7385,ENST00000561798.1,-3893,ENSG00000140740,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,,,controlledV5_peak_367,0,10,10,10,3.321928095
chr17:31875231-31875426,chr17,31875231,31875426,196,Promoter (1-2kb),17,31863349,31873948,10600,55813,ENST00000484661.1,-1283,ENSG00000108651,UTP6,UTP6 small subunit processome component,,,controlledV5_peak_427,0,10,10,10,3.321928095
chr2:218644788-218644977,chr2,218644788,218644977,190,3' UTR,2,218635855,218637173,1319,84812,ENST00000457773.1,8933,ENSG00000115556,PLCD4,phospholipase C delta 4,,,controlledV5_peak_607,0,10,10,10,3.321928095
chr22:36318205-36318428,chr22,36318205,36318428,224,Promoter (1-2kb),22,36317299,36319571,2273,4627,ENST00000687820.1,1143,ENSG00000100345,MYH9,myosin heavy chain 9,,,controlledV5_peak_677,0,10,10,10,3.321928095
chr3:33132554-33132754,chr3,33132554,33132754,201,"Exon (ENST00000320954.11/10491, exon 5 of 7)",3,33115275,33132600,17326,10491,ENST00000485310.1,17279,ENSG00000170275,CRTAP,cartilage associated protein,,,controlledV5_peak_713,0,10,10,10,3.321928095
chr3:53091749-53091968,chr3,53091749,53091968,220,3' UTR,3,52969119,53099453,130335,91869,ENST00000607495.5,7485,ENSG00000163933,RFT1,RFT1 homolog,,,controlledV5_peak_729,0,10,10,10,3.321928095
chr8:73046206-73046496,chr8,73046206,73046496,291,3' UTR,8,73031613,73038804,7192,7013,ENST00000520783.1,14593,ENSG00000147601,TERF1,telomeric repeat binding factor 1,,,controlledV5_peak_975,1,20,19,10,3.321928095
chr9:127506456-127506729,chr9,127506456,127506729,274,3' UTR,9,127509888,127516893,7006,64855,ENST00000465154.1,10164,ENSG00000136830,NIBAN2,niban apoptosis regulator 2,,,controlledV5_peak_1017,0,10,10,10,3.321928095
chrX:107927107-107927319,chrX,107927107,107927319,213,3' UTR,23,107894738,107935980,41243,101928335,ENST00000670461.1,8661,ENSG00000236064,LOC101928335,uncharacterized LOC101928335,,,controlledV5_peak_1105,0,10,10,10,3.321928095
chrX:155829199-155829434,chrX,155829199,155829434,236,"Exon (ENST00000412936.6/ENST00000412936.6, exon 1 of 1)",23,155881345,155943769,62425,6845,ENST00000286448.12,-51911,ENSG00000124333,VAMP7,vesicle associated membrane protein 7,,,controlledV5_peak_1134,0,10,10,10,3.321928095
chr7:107758530-107758731,chr7,107758530,107758731,202,3' UTR,7,107742753,107744581,1829,101927974,ENST00000440971.3,-13949,ENSG00000241764,CBLL1-AS1,CBLL1 antisense RNA 1,,,controlledV5_peak_937,1,19,18,9.5,3.247927513
chrX:69162098-69162470,chrX,69162098,69162470,373,Promoter (2-3kb),23,69160854,69165437,4584,64219,ENST00000374584.3,2967,ENSG00000181191,PJA1,praja ring finger ubiquitin ligase 1,,,controlledV5_peak_1082,1,19,18,9.5,3.247927513
chr1:150949182-150949516,chr1,150949182,150949516,335,"Exon (ENST00000692314.1/9869, exon 11 of 22)",1,150961317,150964735,3419,9869,ENST00000497314.1,-11801,ENSG00000143379,SETDB1,SET domain bifurcated histone lysine methyltransferase 1,,,controlledV5_peak_75,0,9,9,9,3.169925001
chr1:157123345-157123531,chr1,157123345,157123531,187,3' UTR,1,157128362,157128671,310,360155,ENST00000422857.1,-4831,ENSG00000235700,CYCSP52,CYCS pseudogene 52,,,controlledV5_peak_91,0,9,9,9,3.169925001
chr1:193141845-193142042,chr1,193141845,193142042,198,3' UTR,1,193136503,193136583,81,100302163,ENST00000408753.1,5342,ENSG00000221680,MIR1278,microRNA 1278,,,controlledV5_peak_106,0,9,9,9,3.169925001
chr1:230203134-230203347,chr1,230203134,230203347,214,"Exon (ENST00000494106.1/2590, exon 3 of 7)",1,230255358,230282120,26763,2590,ENST00000485438.1,-52011,ENSG00000143641,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2,,,controlledV5_peak_125,0,9,9,9,3.169925001
chr1:236838411-236838614,chr1,236838411,236838614,204,Promoter (2-3kb),1,236835616,236900418,64803,4548,ENST00000366576.3,2795,ENSG00000116984,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,,,controlledV5_peak_131,0,9,9,9,3.169925001
chr12:132665300-132665502,chr12,132665300,132665502,203,Promoter (<=1kb),12,132623776,132665390,41615,5426,ENST00000544870.6,0,ENSG00000177084,POLE,"DNA polymerase epsilon, catalytic subunit",,,controlledV5_peak_277,0,9,9,9,3.169925001
chr12:56255786-56255974,chr12,56255786,56255974,189,Promoter (<=1kb),12,56254087,56255084,998,283373,ENST00000548081.1,-702,ENSG00000139645,ANKRD52,ankyrin repeat domain 52,,,controlledV5_peak_240,0,9,9,9,3.169925001
chr12:6594457-6594650,chr12,6594457,6594650,194,Promoter (<=1kb),12,6570213,6594629,24417,1108,ENST00000644352.1,0,ENSG00000111642,CHD4,chromodomain helicase DNA binding protein 4,,,controlledV5_peak_219,0,9,9,9,3.169925001
chr15:84669839-84670034,chr15,84669839,84670034,196,3' UTR,15,84669546,84673826,4281,23478,ENST00000558924.1,3792,ENSG00000140612,SEC11A,"SEC11 homolog A, signal peptidase complex subunit",,,controlledV5_peak_344,2,27,25,9,3.169925001
chr16:57469959-57470165,chr16,57469959,57470165,207,"Exon (ENST00000562953.5/5432, exon 7 of 7)",16,57465723,57469270,3548,5432,ENST00000563589.1,4236,ENSG00000102978,POLR2C,RNA polymerase II subunit C,,,controlledV5_peak_384,0,9,9,9,3.169925001
chr16:79421-79645,chr16,79421,79645,225,Promoter (1-2kb),16,78257,85842,7586,4350,ENST00000219431.4,1164,ENSG00000103152,MPG,N-methylpurine DNA glycosylase,,,controlledV5_peak_352,0,9,9,9,3.169925001
chr17:16091862-16092059,chr17,16091862,16092059,198,"Exon (ENST00000704743.1/9611, exon 9 of 34)",17,16046900,16080513,33614,9611,ENST00000458113.6,-11349,ENSG00000141027,NCOR1,nuclear receptor corepressor 1,,,controlledV5_peak_415,0,9,9,9,3.169925001
chr2:241262709-241262957,chr2,241262709,241262957,249,Promoter (<=1kb),2,241229224,241262792,33569,3069,ENST00000373292.8,0,ENSG00000115677,HDLBP,high density lipoprotein binding protein,,,controlledV5_peak_612,2,27,25,9,3.169925001
chr21:45509375-45509562,chr21,45509375,45509562,188,"Exon (ENST00000651438.1/80781, exon 39 of 42)",21,45506019,45512567,6549,80781,ENST00000473212.1,3356,ENSG00000182871,COL18A1,collagen type XVIII alpha 1 chain,,,controlledV5_peak_659,0,9,9,9,3.169925001
chr22:41680243-41680447,chr22,41680243,41680447,205,Promoter (2-3kb),22,41675152,41682456,7305,4809,ENST00000488571.2,2009,ENSG00000100138,SNU13,small nuclear ribonucleoprotein 13,,,controlledV5_peak_688,0,9,9,9,3.169925001
chr3:131001271-131001523,chr3,131001271,131001523,253,3' UTR,3,130994070,131001342,7273,27032,ENST00000507194.1,7201,ENSG00000017260,ATP2C1,ATPase secretory pathway Ca2+ transporting 1,,,controlledV5_peak_745,0,9,9,9,3.169925001
chr3:53292249-53292481,chr3,53292249,53292481,233,"Exon (ENST00000610213.6/55802, exon 7 of 10)",3,53287366,53288361,996,55802,ENST00000558034.1,-3888,ENSG00000272886,DCP1A,decapping mRNA 1A,,,controlledV5_peak_730,0,9,9,9,3.169925001
chr4:3209826-3210034,chr4,3209826,3210034,209,Promoter (1-2kb),4,3211912,3213055,1144,3064,ENST00000509751.1,-1878,ENSG00000197386,HTT,huntingtin,,,controlledV5_peak_761,0,9,9,9,3.169925001
chr6:42644248-42644561,chr6,42644248,42644561,314,"Exon (ENST00000372899.6/23304, exon 19 of 47)",6,42696598,42722597,26000,5961,ENST00000230381.7,78036,ENSG00000112619,PRPH2,peripherin 2,,,controlledV5_peak_873,0,9,9,9,3.169925001
chr7:139046726-139046975,chr7,139046726,139046975,250,3' UTR,7,139025706,139036042,10337,92092,ENST00000275766.2,-10684,ENSG00000146858,ZC3HAV1L,"zinc finger CCCH-type containing, antiviral 1 like",,,controlledV5_peak_952,1,18,17,9,3.169925001
chr7:45999864-46000100,chr7,45999864,46000100,237,"Exon (ENST00000427137.1/ENST00000427137.1, exon 1 of 1)",7,45990905,46000898,9994,102723446,ENST00000436056.1,8959,ENSG00000237471,LOC102723446,uncharacterized LOC102723446,,,controlledV5_peak_923,0,9,9,9,3.169925001
chr9:76387272-76387463,chr9,76387272,76387463,192,3' UTR,9,76387284,76393766,6483,55312,ENST00000476087.5,6303,ENSG00000135002,RFK,riboflavin kinase,,,controlledV5_peak_1004,0,9,9,9,3.169925001
chr9:97035526-97035737,chr9,97035526,97035737,212,Promoter (<=1kb),9,97034612,97036062,1451,1515,ENST00000679917.1,325,ENSG00000136943,CTSV,cathepsin V,,,controlledV5_peak_1013,0,9,9,9,3.169925001
chrX:40692707-40692902,chrX,40692707,40692902,196,"Exon (ENST00000324817.6/9282, exon 14 of 31)",23,40675221,40682913,7693,9282,ENST00000496531.2,-9794,ENSG00000180182,MED14,mediator complex subunit 14,,,controlledV5_peak_1062,0,9,9,9,3.169925001
chrX:47512033-47512219,chrX,47512033,47512219,187,Distal Intergenic,23,47483571,47484823,1253,203414,ENST00000357412.2,28462,,LINC01560,long intergenic non-protein coding RNA 1560,,,controlledV5_peak_1071,0,9,9,9,3.169925001
chr1:7780866-7781298,chr1,7780866,7781298,433,Promoter (2-3kb),1,7784291,7845177,60887,8863,ENST00000377532.8,-2993,ENSG00000049246,PER3,period circadian regulator 3,,,controlledV5_peak_4,2,26,24,8.666666667,3.115477217
chr1:179101314-179101648,chr1,179101314,179101648,335,3' UTR,1,179085798,179088496,2699,64222,ENST00000495145.1,15516,ENSG00000186283,TOR3A,torsin family 3 member A,,,controlledV5_peak_102,1,17,16,8.5,3.087462841
chr1:93353905-93354099,chr1,93353905,93354099,195,Promoter (<=1kb),1,93354975,93360935,5961,1810,ENST00000481583.1,-876,ENSG00000117505,DR1,down-regulator of transcription 1,,,controlledV5_peak_48,1,17,16,8.5,3.087462841
chr11:62372105-62372298,chr11,62372105,62372298,194,"Exon (ENST00000526625.2/ENST00000526625.2, exon 3 of 3)",11,62357053,62383247,26195,80150,ENST00000528206.1,15052,ENSG00000162174,ASRGL1,asparaginase and isoaspartyl peptidase 1,,,controlledV5_peak_188,1,17,16,8.5,3.087462841
chr11:6483303-6483618,chr11,6483303,6483618,316,Promoter (1-2kb),11,6481508,6483058,1551,26515,ENST00000533379.1,1795,ENSG00000132286,TIMM10B,translocase of inner mitochondrial membrane 10B,,,controlledV5_peak_167,1,17,16,8.5,3.087462841
chr20:63490513-63490736,chr20,63490513,63490736,224,3' UTR,20,63490081,63498748,8668,1917,ENST00000645586.1,8012,ENSG00000101210,EEF1A2,eukaryotic translation elongation factor 1 alpha 2,,,controlledV5_peak_635,1,17,16,8.5,3.087462841
chr7:113117386-113117573,chr7,113117386,113117573,188,Promoter (<=1kb),7,113117257,113118534,1278,401397,ENST00000413744.1,961,ENSG00000214194,SMIM30,small integral membrane protein 30,,,controlledV5_peak_941,1,17,16,8.5,3.087462841
chr8:60939575-60939932,chr8,60939575,60939932,358,"Exon (ENST00000529239.1/ENST00000529239.1, exon 1 of 1)",8,60918981,60966557,47577,157807,ENST00000527672.1,20594,ENSG00000177182,CLVS1,clavesin 1,,,controlledV5_peak_974,1,17,16,8.5,3.087462841
chr9:6279020-6279372,chr9,6279020,6279372,353,"Exon (ENST00000456723.1/ENST00000456723.1, exon 1 of 1)",9,6241695,6257982,16288,90865,ENST00000456383.3,37325,ENSG00000137033,IL33,interleukin 33,,,controlledV5_peak_988,1,17,16,8.5,3.087462841
chr1:111762675-111762878,chr1,111762675,111762878,204,Promoter (2-3kb),1,111760397,111767574,7178,11218,ENST00000475700.1,2278,ENSG00000064703,DDX20,DEAD-box helicase 20,,,controlledV5_peak_54,0,8,8,8,3
chr10:72354764-72354964,chr10,72354764,72354964,201,Promoter (<=1kb),10,72332863,72354919,22057,54788,ENST00000444643.8,0,ENSG00000148719,DNAJB12,DnaJ heat shock protein family (Hsp40) member B12,,,controlledV5_peak_148,0,8,8,8,3
chr13:52414269-52414513,chr13,52414269,52414513,245,Promoter (1-2kb),13,52415525,52416161,637,51028,ENST00000462289.1,1648,ENSG00000136100,VPS36,vacuolar protein sorting 36 homolog,,,controlledV5_peak_287,1,16,15,8,3
chr13:72783446-72783642,chr13,72783446,72783642,197,Promoter (1-2kb),13,72782225,73015980,233756,10464,ENST00000615625.1,1221,ENSG00000083535,PIBF1,progesterone immunomodulatory binding factor 1,,,controlledV5_peak_289,0,8,8,8,3
chr17:42521100-42521356,chr17,42521100,42521356,257,Promoter (<=1kb),17,42520383,42521785,1403,535,ENST00000587299.1,717,ENSG00000033627,ATP6V0A1,ATPase H+ transporting V0 subunit a1,,,controlledV5_peak_436,1,16,15,8,3
